,sentence,entities,countries_entities
234,"The first war was the Korean War, fought between People's Republic of China-backed North Korea and mainly United States-backed South Korea.","['first', 'the Korean War', ""People's Republic of China"", 'North Korea', 'United States', 'South Korea']",['United States']
236,"A communist government controlled the territory north of the border and a capitalist one controlled the South, with both authorities considering the other one illegitimate and claiming sovereignty over the entire peninsula.[194] North Korea's invasion of South Korea on 25 June 1950 led to United Nations intervention.[195] General Douglas MacArthur led troops from the United States, Canada, Australia, Great Britain, and other countries in repulsing the Northern invasion.","['South', ""North Korea's"", 'South Korea', '25 June 1950', 'United Nations', 'Douglas MacArthur', 'the United States', 'Canada', 'Australia', 'Great Britain']","['Canada', 'Australia']"
238,"After the French withdrawal from its former colony, on 21 July 1954, Vietnam became partitioned into two halves, much like Korea, along the 17th parallel.","['French', '21 July 1954', 'Vietnam', 'two', 'Korea', 'the 17th']",['Vietnam']
243,"The plan went awry, with Nixon  deliberately sabotaging peace talks for political gain,[202] and the war spilled into neighboring Cambodia while South Vietnamese forces were pushed further back.[203]","['Nixon', 'Cambodia', 'South Vietnamese']",['Cambodia']
246,"Saigon was captured on 30 April 1975, and Vietnam was unified under Communist rule a year later, effectively bringing an end to one of the most unpopular wars of all time.[205][206]The Cuban Missile Crisis illustrates just how close to the brink of nuclear war the world came during the Cold War.","['Saigon', '30 April 1975', 'Vietnam', 'Communist', 'a year later', 'one', 'the Cold War']",['Vietnam']
247,"Cuba, under Fidel Castro's socialist government, had formed close ties with the Soviet Union.[207] This was obviously disquieting to the United States, given Cuba's proximity.","['Cuba', ""Fidel Castro's"", 'Soviet', 'the United States', 'Cuba']","['Cuba', 'Cuba']"
250,"Main article: Space RaceWith Cold War tensions running high, the Soviet Union and United States took their rivalry to the stars in 1957 with the Soviet launch of Sputnik.[210] A ""space race"" between the two powers followed.[211]","['Space RaceWith Cold War', 'the Soviet Union', 'United States', '1957', 'Soviet', 'two']",['United States']
252,"Regular space flights with astronauts were made possible with the American Space Shuttle, which was the first reusable spacecraft to be successfully used.[219] Mir and Skylab enabled prolonged human habitation in space.[220][221] In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada.[222]The end of the Cold War[edit]In 1989, the Berlin Wall separating West and East Berlin fell.","['the American Space Shuttle', 'first', 'Mir', 'Skylab', 'the 1990s', 'the International Space Station', 'the end of the century', 'the United States', 'Europe', 'Russia', 'Japan', '1989', 'the Berlin Wall', 'West', 'East Berlin']","['Russia', 'Japan']"
257,"Boris Yeltsin, president of Russia, organized mass opposition, and the coup failed.[228]","['Boris Yeltsin', 'Russia', 'failed.[228']",['Russia']
291,"In this figure, the globally averaged warming corresponds to 3.0 °C (5.4 °F).The world was undergoing its second major period of globalization; the first, which started in the 19th century, having been terminated by World War I.[257] Since the US was in a position of almost unchallenged domination, a major part of the process was Americanization.[258] This led to anti-Western and anti-American feelings in parts of the world, especially the Middle East.[259] The influence of China and India was also rising, as the world's largest populations, long marginalized by the West and by their rulers, were rapidly integrating with the world economy.[260]However, several problems face the world.","['3.0', '5.4', 'second', 'first', 'the 19th century', 'World War I.[257] Since', 'US', 'anti-Western', 'anti-American', 'China', 'India', 'West']",['India']
296,"Meanwhile in South Africa, the apartheid came to an end and Nelson Mandela became the nation's first black president, leading to the formation of a new democratic government, after having been ruled for four and a half decades of systemised racial segregation.","['South Africa', 'Nelson Mandela', 'first', 'four and a half decades']",['South Africa']
297,"In Rwanda, an estimated one million people were massacred in the genocide, which included targets of Tutsis and moderate Hutu and Twa people.","['Rwanda', 'an estimated one million', 'Tutsis', 'Hutu']",['Rwanda']
404,"""Hitler announces an Anschluss with Austria"".","['Hitler', 'Austria']",['Austria']
438,"""Why Finland allied itself with Nazi Germany | Letter"".","['Finland', 'Nazi', 'Germany']","['Finland', 'Germany']"
453,"""Germany's Invasion of Denmark and Norway"".","['Germany', 'Norway']","['Germany', 'Norway']"
460,"ISBN 9780521643580.^ ""France to surrender"".",['France'],['France']
478,"S2CID 266611484.^ ""Italy a burden on Hitler in World War II – World – Dunya News"".","['S2CID', '266611484.^', 'Italy', 'Hitler', 'World War II']",['Italy']
482,"""Italy Tried to Invade Greece in World War II.","['Greece', 'World War II']",['Greece']
490,"""The Stuka Terror: Germany's shrieking Ju 87 dive bomber lingered in the mind as a truly dreaded air weapon"".","['The Stuka Terror', 'Germany', 'Ju 87']",['Germany']
508,Rise And Fall of the Third Reich: A History of Nazi Germany.,"['Nazi', 'Germany']",['Germany']
535,"""Germany's Sixth Army in Stalingrad in World War II"".","['Germany', 'Sixth Army', 'Stalingrad', 'World War II']",['Germany']
538,"""Germany declares war on the United States"".","['Germany', 'the United States']",['Germany']
561,"Retrieved 12 December 2018.^ ""1943: Italy's surrender announced"".","['12', 'December', '1943', 'Italy']",['Italy']
632,"S2CID 143561025.^ ""BBC – History – World Wars: Japan's Quest for Empire"".","['S2CID', 'BBC', 'Japan']",['Japan']
645,"""The Avalon Project: Summary of the Three-Power Pact Between Germany, Italy, and Japan, Signed at Berlin, September 27, 1940"".","['The Avalon Project: Summary of the Three-Power Pact Between Germany', 'Italy', 'Japan', 'Berlin', 'September 27, 1940']","['Italy', 'Japan']"
652,"""The United States declares war on Japan"".","['The United States', 'Japan']",['Japan']
666,"Retrieved 13 December 2018.^ ""From the Jaws of Death: MacArthur's Escape from the Philippines"".","['13', 'December', 'the Jaws of Death', 'MacArthur', 'Escape', 'Philippines']",['Philippines']
743,"""Hirohito accepts Japan's surrender terms, Aug. 14, 1945"".","['Hirohito', 'Japan', 'Aug. 14, 1945']",['Japan']
789,"PMID 21731859.^ Gutman, Israel (1990).","['21731859.^', 'Israel', '1990']",['Israel']
859,"""Israel's Nuclear Weapons: 5 Things You Need to Know"".","['Israel', '5']",['Israel']
868,"""Major milestones of Iran's nuclear programme | Iran | Al Jazeera"".","['Iran', 'Iran', 'Al Jazeera']","['Iran', 'Iran']"
875,"Past & Present (210): 103–120. doi:10.1093/pastj/gtq042.^ ""The division of Germany – The Cold War (1945–1989) – CVCE Website"".","['Past & Present', '210', '103–120', 'doi:10.1093/pastj/gtq042.^', 'Germany', 'The Cold War', '1945–1989']",['Germany']
899,"""The forgotten violence that helped India break free from colonial rule"".",['India'],['India']
902,"""Indian Independence Day: everything you need to know about Partition between India and Pakistan 70 years on"".","['Indian Independence Day', 'Partition between India', 'Pakistan', '70 years']",['Pakistan']
909,"""The Philippines, 1898–1946 | US House of Representatives: History, Art & Archives"".","['Philippines', '1898–1946', 'US House of Representatives: History,', 'Art & Archives']",['Philippines']
934,"""Colonial Cartographies, Postcolonial Borders, and Enduring Failures of International Law: The Unending War along the Afghanistan-Pakistan Frontier"".","['Colonial Cartographies', 'Postcolonial Borders', 'Enduring Failures of', 'Afghanistan']",['Afghanistan']
961,"The Moldovans: Romania, Russia, and the Politics of Culture.","['Moldovans', 'Romania', 'Russia', 'the Politics of Culture']","['Romania', 'Russia']"
1005,"""Selling 'Operation Passage to Freedom': Dr. Thomas Dooley and the Religious Overtones of Early American Involvement in Vietnam"".","['Thomas Dooley', 'the Religious Overtones of Early American Involvement', 'Vietnam']",['Vietnam']
1028,"""Stuck in Endless Preliminaries: Vietnam and the Battle of the Paris Peace Table, November 1968 – January 1969"".","['Stuck in Endless Preliminaries', 'Vietnam', 'the Battle of the Paris Peace Table', 'November 1968', 'January 1969']",['Vietnam']
1231,"""Anti-American Behavior in the Middle East: Evidence from a Field Experiment in Lebanon"".","['Anti-American Behavior', 'the Middle East', 'a Field Experiment', 'Lebanon']",['Lebanon']
1235,The Rise of China and India: A New Asian Drama.,"['India', 'New Asian']",['India']
1236,Singapore: World Scientific. doi:10.1142/7381.,"['Singapore', 'World Scientific']",['Singapore']
